questions,answers
" Thời gian tham gia BHYT cho cả năm 2024 là bao lâu?
","Thời gian tham gia Bảo hiểm Y tế (BHYT) cho cả năm 2024 là từ ngày 01/01/2024 đến ngày 31/12/2024, tức là 12 tháng.
"
" Hình thức nộp tiền BHYT cho cả năm 2024 là gì?
","Hình thức nộp tiền BHYT cho cả năm 2024 là sinh viên nộp tiền mua Bảo hiểm y tế cho Trường cùng với học phí. Sinh viên có thể nộp cùng học phí học kỳ 1 năm học 2023-2024, đợt 1 từ ngày 02/10 – 15/10/2023 và đợt 2 từ ngày 04/12/2023 - 31/12/2023. Ngoài ra, để hỗ trợ cho những sinh viên chưa có thẻ BHYT theo diện đối tượng sinh viên hoặc thẻ BHYT hết hạn, Nhà trường phối hợp với BHXH Quận Hai Bà Trưng tổ chức mua BHYT định kỳ theo Quý (3 tháng/ lần) cho sinh viên vào đầu mỗi Quý. Thời gian nộp tiền mua BHYT các đợt bổ sung trong năm 2024 và cách thức nộp tiền cụ thể được ghi rõ trong đoạn văn.
"
" Hình thức nộp tiền mua BHYT theo từng đợt trong năm 2024 là gì?
","Hình thức nộp tiền mua BHYT theo từng đợt trong năm 2024 là sinh viên nộp tiền theo cú pháp MSSV_Hovaten vào tài khoản 12210002113656 - DAI HOC BACH KHOA HA NOI tại Ngân hàng BIDV (Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam - chi nhánh Hà Thành). Thời gian nộp tiền và số tiền phải đóng cho từng đợt được xác định cụ thể như sau:

- Đợt 1: Từ ngày 01/02/2024 đến ngày 20/02/2024. Thời gian tham gia bảo hiểm: từ 01/03/2024 đến 31/12/2024 (10 tháng). Số tiền phải đóng: 10 tháng x 56.700 đồng/tháng = 567.000 đồng.
- Đợt 2: Từ ngày 01/06/2024 đến ngày 20/06/2024. Thời gian tham gia bảo hiểm: từ 01/07/2024 đến 31/12/2024 (06 tháng). Số tiền phải đóng: 6 tháng x 56.700 đồng/tháng = 340.200 đồng.
- Đợt 3: Từ ngày 01/09/2024 đến ngày 20/09/2024. Thời gian tham gia bảo hiểm: từ 01/10/2024 đến 31/12/2024 (03 tháng). Số tiền phải đóng: 3 tháng x 56.700 đồng/tháng = 170.100 đồng.
"
" Các giấy tờ cần mang theo khi đến khám chữa bệnh là gì?
","- Thẻ bảo hiểm y tế (BHYT)
- CCCD/CMND hoặc Thẻ sinh viên (hoặc giấy tờ hợp lệ)
- Sổ khám bệnh (nếu có)
"
" Trường hợp muốn thay đổi nơi khám chữa bệnh ban đầu thì phải làm gì?
","Để thay đổi nơi khám chữa bệnh ban đầu, bạn cần tới Bảo hiểm xã hội Quận Hai Bà Trưng (số 6, ngõ 167, đường Giải Phóng) vào thời gian 10 ngày đầu tiên của tháng đầu Quý (mười ngày đầu của các tháng 1, 4, 7, 10).
"
" Các bước thực hiện khám chữa bệnh tại các cơ sở Y tế là gì?
","Các bước thực hiện khám chữa bệnh tại các cơ sở Y tế:

- Bước 1: Đăng ký khám bệnh tại bàn đón tiếp
- Bước 2: Đến các phòng khám theo hướng dẫn của bộ phận đón tiếp
- Bước 3: Thực hiện xét nghiệm, cận lâm sàng (nếu có)
- Bước 4: Trở lại Phòng khám ban đầu (sau khi có kết quả cận lâm sàng)
- Bước 5: Đợi Bác sỹ kê đơn thuốc v ra bàn phụ khám làm thủ tục
- Bước 6: Đến phòng Dược lĩnh thuốc
"
" Thủ tục cấp lại thẻ BHYT khi bị mất hoặc bị hỏng là gì?
","Trường hợp thẻ BHYT bị mất, bị hỏng, sinh viên có thể mang Thẻ CCCD/CMND đến Bảo hiểm xã hội Quận Hai Bà Trưng (nhà số 6, ngõ 167 đường Giải Phóng) để xin cấp lại thẻ BHYT.
"
" Sinh viên có thể sử dụng thẻ điện tử để khám chữa bệnh không?
","Có, sinh viên có thể sử dụng thẻ BHYT điện tử để khám chữa bệnh bằng cách cài đặt ứng dụng VssID trên điện thoại di động thay cho thẻ BHYT giấy.
"
" Làm thế nào để nộp tiền mua BHYT các đợt trong năm 2024? Có thể sử dụng hình thức nào để nộp tiền?
","Sinh viên nộp tiền theo cú pháp MSSV_Hovaten vào ti khoản 12210002113656 - DAI HOC BACH KHOA HA NOI tại Ngân hàng BIDV (Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam - chi nhánh Hà Thành).
"
" Làm thế nào để làm lại thẻ BHYT nếu bị mất hoặc hỏng?
","Sinh viên có thể mang Thẻ CCCD/CMND đến Bảo hiểm xã hội Quận Hai Bà Trưng (nhà số 6, ngõ 167 đường Giải Phóng) để xin cấp lại thẻ BHYT nếu thẻ BHYT bị mất hoặc hỏng.
"
" Bảo hiểm y tế cho sinh viên có thời gian tham gia bảo hiểm là bao lâu trong năm 2024?
","12 tháng
"
" Làm thế nào để mua BHYT định kỳ theo Quý trong năm 2024?
","Để mua BHYT định kỳ theo Quý trong năm 2024, bạn có thể thực hiện theo hướng dẫn sau đây:

- Đợt 1: Từ ngày 01/02/2024 đến ngày 20/02/2024. Thời gian tham gia bảo hiểm: từ 01/03/2024 đến 31/12/2024 (10 tháng). Số tiền phải đóng: 10 tháng x 56.700 đồng/tháng = 567.000 đồng.

- Đợt 2: Từ ngày 01/06/2024 đến ngày 20/06/2024. Thời gian tham gia bảo hiểm: từ 01/07/2024 đến 31/12/2024 (06 tháng). Số tiền phải đóng: 6 tháng x 56.700 đồng/tháng = 340.200 đồng.

- Đợt 3: Từ ngày 01/09/2024 đến ngày 20/09/2024. Thời gian tham gia bảo hiểm: từ 01/10/2024 đến 31/12/2024 (03 tháng). Số tiền phải đóng: 3 tháng x 56.700 đồng/tháng = 170.100 đồng.

Sau khi xác định đợt mua BHYT, bạn cần nộp tiền theo cú pháp MSSV_Hovaten vào tài khoản 12210002113656 - DAI HOC BACH KHOA HA NOI tại Ngân hàng BIDV (Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam - chi nhánh Hà Thành). Đồng thời, sau khi nộp tiền, bạn cần gửi ảnh lệnh chuyển tiền thành công tại https://forms.office.com/r
"
" Làm thế nào để nộp tiền mua BHYT các đợt bổ sung trong năm 2024?
","Thời gian nộp tiền mua BHYT các đợt bổ sung trong năm 2024:

Đợt 1: Từ ngày 01/02/2024 đến ngày 20/02/2024.
Đợt 2: Từ ngày 01/06/2024 đến ngày 20/06/2024.
Đợt 3: Từ ngày 01/09/2024 đến ngày 20/09/2024.
"
" Làm thế nào để sử dụng thẻ BHYT khám, chữa bệnh?
","Để sử dụng thẻ BHYT khám, chữa bệnh, sinh viên cần đến nơi đăng ký khám chữa bệnh ban đầu tại Trung Tâm Y tế Bách Khoa số 5 Phố Tạ Quang Bửu. Sinh viên cần mang theo thẻ BHYT giấy hoặc thẻ BHYT điện tử (cài đặt ứng dụng VssID trên điện thoại di động) để đi khám chữa bệnh tại Trung tâm Y tế của Trường hoặc các cơ sở y tế khác. Sinh viên cũng cần mang theo CCCD/CMND hoặc thẻ sinh viên (hoặc giấy tờ hợp lệ), và sổ khám bệnh nếu có. 

Quy trình thực hiện việc khám, chữa bệnh bao gồm các bước: đăng ký khám bệnh tại bàn đón tiếp, đến các phòng khám theo hướng dẫn, thực hiện xét nghiệm, cận lâm sàng (nếu có), trở lại phòng khám ban đầu, đợi bác sỹ kê đơn thuốc và ra bàn phụ khám làm thủ tục, và đến phòng dược lĩnh thuốc.

Nếu thẻ BHYT bị mất hoặc hỏng, sinh viên có thể mang thẻ CCCD/CMND đến Bảo hiểm xã hội Quận Hai Bà Trưng để xin cấp lại thẻ BHYT.
"
" Quy trình thực hiện việc khám, chữa bệnh như thế nào?
","Quy trình thực hiện việc khám, chữa bệnh như sau:

- Bước 1: Đăng ký khám bệnh tại bàn đón tiếp
- Bước 2: Đến các phòng khám theo hướng dẫn của bộ phận đón tiếp
- Bước 3: Thực hiện xét nghiệm, cận lâm sàng (nếu có)
- Bước 4: Trở lại Phòng khám ban đầu (sau khi có kết quả cận lâm sàng)
- Bước 5: Đợi Bác sỹ kê đơn thuốc và ra bàn phụ khám làm thủ tục
- Bước 6: Đến phòng Dược lĩnh thuốc.
"
" Đánh giá kết quả rèn luyện của sinh viên là yêu cầu bắt buộc theo quy chế nào?
","Đánh giá kết quả rèn luyện của sinh viên là yêu cầu bắt buộc theo quy chế Công tác sinh viên (theo thông tư 16/2015/TT-BGDĐT và thông tư 10/2016/TT-BGDĐT)
"
" Mục tiêu của việc đánh giá kết quả rèn luyện của sinh viên là gì?
","Mục tiêu của việc đánh giá kết quả rèn luyện của sinh viên bao gồm thúc đẩy sinh viên rèn luyện tích cực để tăng khả năng thành công trong và sau quá trình đào tạo, phù hợp với mục tiêu và chính sách của Nhà trường, tăng tính minh bạch và khách quan của kết quả đánh giá rèn luyện, cung cấp thông tin hỗ trợ cho sinh viên, và đảm bảo sự công bằng giữa các sinh viên.
"
" Học bổng Trần Đại Nghĩa dành cho đối tượng nào và có những điều kiện nào?
","Học bổng Trần Đại Nghĩa dành cho sinh viên có hoàn cảnh kinh tế gia đình đặc biệt khó khăn, bao gồm hộ nghèo, hộ cận nghèo, hộ có hoàn cảnh kinh tế đặc biệt khó khăn khác, sinh viên gặp tai nạn, rủi ro đột xuất. Để được xét cấp học bổng Trần Đại Nghĩa, sinh viên cần có kết quả học tập và rèn luyện tốt. Học bổng này được xét theo học kỳ và có 2 mức tương ứng với 50% và 100% học phí. Chi tiết về quy định xét cấp học bổng Trần Đại Nghĩa có thể được tìm thấy tại đường link: https://husteduvn-my.sharepoint.com/:b:/g/personal/khai_tranquang_hust_edu_vn1/EaQb5XucFDpIjtckawafR2ABVFBqq5VQ4c-akklE2JjP3Q?e=ia25Rv.
"
" Sinh viên ĐHBK Hà Nội có cơ hội tham gia các chương trình học bổng trao đổi ở nước ngoài thông qua những nguồn nào?
","Sinh viên ĐHBK Hà Nội có cơ hội tham gia các chương trình học bổng trao đổi ở nước ngoài thông qua các nguồn sau:

1. Học bổng khuyến khích học tập (KKHT) do Nhà trường cấp.
2. Học bổng Trần Đại Nghĩa dành cho sinh viên có hoàn cảnh kinh tế gia đình đặc biệt khó khăn.
3. Học bổng tài trợ từ các cá nhân, tổ chức, doanh nghiệp trong và ngoài nước.
4. Học bổng trao đổi sinh viên quốc tế từ ĐHBK Hà Nội và các nguồn hợp tác quốc tế song phương và đa phương.
5. Học bổng gắn kết quê hương dành cho sinh viên, học viên chương trình kỹ sư chuyên sâu đặc thù.
"
" Ngoài các điều kiện về học tập, đối tượng nào trong số sinh viên các khóa có đăng ký học tập HK2023.2 được xem xét cho Học bổng Trần Đại Nghĩa nhóm b?
","Sinh viên các khóa có đăng ký học tập HK2023.2 gặp tại nạn, rủi ro đột xuất, gồm:
- Sinh viên mắc bệnh hiểm nghèo;
- Sinh viên gặp tai nạn ở mức độ nặng và phải điều trị dài ngày trong bệnh viện;
- Gia đình sinh viên bị thiên tai, dịch bệnh hoặc hỏa hoạn.
"
" Mức học bổng Trần Đại Nghĩa có bao nhiêu mức và tương ứng với điều gì?
","Mức học bổng Trần Đại Nghĩa có 2 nhóm, mỗi nhóm có 2 mức khác nhau:

1. Nhóm a khoản 1:
   - Mức 1: Tương ứng với 50% học phí của học kỳ 2023.2
   - Mức 2: Tương ứng với 100% học phí của học kỳ 2023.2

2. Nhóm b khoản 1:
   - Mức 1: Tương ứng với 5 triệu đồng học phí của học kỳ 2023.2
   - Mức 2: Tương ứng với 10 triệu đồng học phí của học kỳ 2023.2
"
" Có những trường hợp nào không được xem xét cho Học bổng Trần Đại Nghĩa?
","- Sinh viên đang trong thời gian bị kỷ luật từ mức cảnh cáo trở lên.
- Sinh viên đã được nhận Học bổng KKHT hoặc học bổng tài trợ khác trong HK2023.2
- Sinh viên diện chế độ chính sách được miễn, giảm học phí HK2023.2.
"
